Temperatura   , dT           , Intensitat   , dI           , Tensió          , dV
19.5590400696 , 0.0469647609 , 5.8706655502 , 0.0049999999 , 4550.4873046875 , 6.4565057755
19.4492549896 , 0.0326954424 , 5.8717556000 , 0.0049999999 , 4554.5307617188 , 7.3573083878
19.5082263947 , 0.0618165806 , 5.8652882576 , 0.0049999999 , 4549.6625976563 , 8.0290803909
19.4806213379 , 0.0264932979 , 5.8620314598 , 0.0049999999 , 4552.1733398438 , 8.1842041016
19.5684490204 , 0.0417930856 , 5.8608102798 , 0.0049999999 , 4547.1918945313 , 7.6112761497
19.4868965149 , 0.0453978181 , 5.8594670296 , 0.0049999999 , 4549.4394531250 , 7.7481245995
19.5019512177 , 0.0599288344 , 5.8593564034 , 0.0049999999 , 4547.9267578125 , 7.7978820801
19.5828781128 , 0.0386584662 , 5.8637747765 , 0.0049999999 , 4556.6367187500 , 6.3735523224
19.4341964722 , 0.0555783994 , 5.8616461754 , 0.0049999999 , 4547.0859375000 , 7.3735456467
19.4436092377 , 0.0324666686 , 5.8593645096 , 0.0049999999 , 4553.8242187500 , 8.5644769669
19.4680728912 , 0.0327334143 , 5.8650031090 , 0.0049999999 , 4536.8691406250 , 6.6484146118
19.3978118896 , 0.0270616133 , 5.8590888977 , 0.0049999999 , 4548.8574218750 , 7.3971595764
19.6399650574 , 0.0355444886 , 5.8559637070 , 0.0049999999 , 4551.9042968750 , 5.3932166100
19.5828781128 , 0.0380021632 , 5.8526630402 , 0.0049999999 , 4545.2832031250 , 4.8557581902
19.4850139618 , 0.0526632369 , 5.8515238762 , 0.0049999999 , 4538.8964843750 , 5.0207829475
19.6067161560 , 0.0563663132 , 5.8569693565 , 0.0049999999 , 4554.3242187500 , 6.2064161301
19.5163803101 , 0.0346148871 , 5.8605275154 , 0.0049999999 , 4555.0825195313 , 7.0944046974
19.5615482330 , 0.0317019559 , 5.8599448204 , 0.0049999999 , 4544.9296875000 , 6.1280655861
19.5182628632 , 0.0427264310 , 5.8654031754 , 0.0049999999 , 4547.9028320313 , 6.1492838860
19.4505100250 , 0.0360046029 , 5.8673853874 , 0.0049999999 , 4544.5009765625 , 8.4069013596
19.4906597137 , 0.0362795815 , 5.8611111641 , 0.0049999999 , 4546.8227539063 , 8.4551954269
19.5170078278 , 0.0321591012 , 5.8674297333 , 0.0049999999 , 4546.2465820313 , 4.8730745316
19.4850139618 , 0.0459283292 , 5.8639593124 , 0.0049999999 , 4535.8051757813 , 7.4006700516
19.4141235352 , 0.0406096354 , 5.8583936691 , 0.0049999999 , 4540.1953125000 , 6.5477719307
19.5552749634 , 0.0395794138 , 5.8568038940 , 0.0049999999 , 4545.1806640625 , 5.9889202118
19.6280479431 , 0.0452950858 , 5.8535408974 , 0.0049999999 , 4557.1059570313 , 6.8831176758
19.4724655151 , 0.0302070063 , 5.8542675972 , 0.0049999999 , 4548.7104492188 , 8.9669055939
19.5753498077 , 0.0308378730 , 5.8508920670 , 0.0049999999 , 4542.7978515625 , 7.3923768997
19.6230278015 , 0.0604037307 , 5.8527383804 , 0.0049999999 , 4552.3642578125 , 6.2879319191
19.6393394470 , 0.0298969727 , 5.8512248993 , 0.0049999999 , 4553.1484375000 , 5.9986920357
19.5766048431 , 0.0331013836 , 5.8541364670 , 0.0049999999 , 4554.0351562500 , 7.6576495171
19.4712104797 , 0.0562615283 , 5.8423490524 , 0.0049999999 , 4529.2690429688 , 7.3636455536
19.6330661774 , 0.0548584722 , 5.8520092964 , 0.0049999999 , 4551.4921875000 , 7.2494173050
19.6299304962 , 0.0530802906 , 5.8544764519 , 0.0049999999 , 4553.8486328125 , 7.9953713417
19.6782341003 , 0.0272332188 , 5.8596272469 , 0.0049999999 , 4544.4077148438 , 7.3927268982
19.5082263947 , 0.0409826599 , 5.8608436584 , 0.0049999999 , 4539.2426757813 , 5.2943239212
19.6004447937 , 0.0376491025 , 5.8616948128 , 0.0049999999 , 4540.2353515625 , 6.2821292877
19.5126152039 , 0.0309785474 , 5.8565998077 , 0.0049999999 , 4539.1752929688 , 7.4758920670
19.5132427216 , 0.0421335362 , 5.8545780182 , 0.0049999999 , 4536.3994140625 , 6.6334581375
19.6619224548 , 0.0299488660 , 5.8552007675 , 0.0049999999 , 4550.1904296875 , 6.0947566032
19.5446109772 , 0.0538874492 , 5.8577151299 , 0.0049999999 , 4536.7099609375 , 7.1954264641
19.6198921204 , 0.0352373458 , 5.8630304337 , 0.0049999999 , 4536.7055664063 , 5.5337214470
19.5998153687 , 0.0399931297 , 5.8556041718 , 0.0049999999 , 4548.3793945313 , 7.4628510475
19.5132427216 , 0.0511555225 , 5.8551478386 , 0.0049999999 , 4541.2900390625 , 5.9554467201
19.5941696167 , 0.0337333567 , 5.8526611328 , 0.0049999999 , 4528.4819335938 , 5.3036041260
19.4862670898 , 0.0450889170 , 5.8440742493 , 0.0049999999 , 4547.4936523438 , 7.5557727814
19.5063438416 , 0.0647944883 , 5.8429389000 , 0.0049999999 , 4548.2739257813 , 8.1687393188
19.5759773254 , 0.0455480739 , 5.8432602882 , 0.0049999999 , 4533.5092773438 , 7.1487274170
19.4799938202 , 0.0294363461 , 5.8419623375 , 0.0049999999 , 4529.6269531250 , 6.0851874352
19.6079730988 , 0.0342994183 , 5.8258976936 , 0.0049999999 , 4536.6982421875 , 5.3935241699
19.6261653900 , 0.0536564216 , 5.8194985390 , 0.0049999999 , 4546.5795898438 , 6.7025537491
19.6700782776 , 0.0370671637 , 5.8249721527 , 0.0049999999 , 4545.0834960938 , 8.7555351257
19.4937953949 , 0.0496395603 , 5.8331952095 , 0.0049999999 , 4530.0439453125 , 5.9950141907
19.5289268494 , 0.0288394596 , 5.8480443954 , 0.0049999999 , 4535.0605468750 , 5.9170203209
19.5207710266 , 0.0383681618 , 5.8468785286 , 0.0049999999 , 4536.7817382813 , 6.9755043983
19.5421009064 , 0.0384086072 , 5.8598709106 , 0.0049999999 , 4536.9692382813 , 8.1607303619
19.5038318634 , 0.0332324766 , 5.8593540192 , 0.0049999999 , 4540.0878906250 , 8.1467380524
19.5113620758 , 0.0408003777 , 5.8519287109 , 0.0049999999 , 4533.9838867188 , 7.3259534836
19.5364532471 , 0.0347849391 , 5.8535494804 , 0.0049999999 , 4527.1665039063 , 6.8170104027
19.5000686646 , 0.0294257924 , 5.8384017944 , 0.0049999999 , 4528.8935546875 , 6.2615222931
19.4925403595 , 0.0434686765 , 5.8476018906 , 0.0049999999 , 4541.8906250000 , 7.8806071281
19.5389652252 , 0.0382952392 , 5.8464803696 , 0.0049999999 , 4523.6479492188 , 6.4024014473
19.6807441711 , 0.0636727437 , 5.8352146149 , 0.0049999999 , 4543.8334960938 , 6.8614044189
